«·œÊ«¡,«· —ﬂÌ»
Tensocard 8,perindopril 8mg / tab
TensocardPlus 4/1.25,indapamide 1.25mg+perindopril 4mg / tab
Tinaderm 1%,tolnaftate 1%
Tinaderm 1%,tolnaftate 1%
TonicZ,ferrousSulfate 47mg+folicAcid 0.5mg+zincSulfate 22.5mg / SR-cap
TonicZ2,ferrousSulfate 50mg+folicAcid 0.5mg+zincSulfate 22.5mg / SR-cap
Torespot 10,torsemide 10mg / tab
Torespot 20,torsemide 20mg / tab
Toricox 120,etoricoxib 120mg / c-tab
Toricox 60,etoricoxib 60mg / c-tab
Toricox 90,etoricoxib 90mg / c-tab
Trental 400,pentoxifylline 400mg / c-tab
Triampure comp,H.C.T.Z. ( HydroChloroThiaZide ) 12.5mg+triamterene 25mg / tab
Triderm,betamethasoneDipropionate 0.064%+clotrimazole 1%+gentamicin 0.1%
Triderm,betamethasoneDipropionate 0.064%+clotrimazole 1%+gentamicin 0.1%
TroNidaz 250,metronidazole 250mg / c-tab
TroNidaz 500,metronidazole 500mg / c-tab
"Unicetam 1,000",piracetam 1000mg / 5ml
Unicetam 400,piracetam 400mg / cap
Unicetam 800,piracetam 800mg / tab
Unicetam 800,piracetam 800mg / tab
Unicron 80,gliclazide 80mg / tab
Unicron 80,gliclazide 80mg / tab
UnicronMR 30,gliclazide 30mg / SR-tab
UnicronMR 60,gliclazide 60mg / SR-tab
Unidol 200,paraCetamol 200mg / 5ml
UniFast 120,fexoFenadine 120mg / tab
UniFast 120,fexoFenadine 120mg / tab
UniFast 180,fexoFenadine 180mg / tab
UniFast 180,fexoFenadine 180mg / tab
UniFast 60,fexoFenadine 60mg / tab
UniFast 60,fexoFenadine 60mg / tab
UnilGan 1000,paraCetamol 1000mg / effervi-tab
UniLongus 30,dapoxetine 30mg / c-tab
UniLongus 60,dapoxetine 60mg / c-tab
Vermox 100,mebendazole 100mg / 5ml
Vermox 500,mebendazole 500mg / tab
VeroClude 0.5,entecavir 0.5mg / c-tab
Verpamil 120,verapamil 120mg / c-tab
Verpamil 40,verapamil 40mg / c-tab
Verpamil 80,verapamil 80mg / c-tab
Vidaylin,vitaminA 0.9mg+vitaminB1 1.5mg+vitaminB2 1.2mg+vitaminB6 1mg+vitaminB12 0.003mg+vitaminC 50mg+vitaminD 0.01mg+vitaminPP 10mg / 5ml
Vidaylin,vitaminA 0.9mg+vitaminB1 1.5mg+vitaminB2 1.2mg+vitaminB6 1mg+vitaminB12 0.003mg+vitaminC 50mg+vitaminD 0.01mg+vitaminPP 10mg / 5ml
"Viforcit 1,000",vitaminC 1000mg / efferv-tab
"Viforcit 1,000",vitaminC 1000mg / efferv-tab
Vinpocetin 5,vinpocetin 5mg / tab
Yohimbine 2,yohimbine 2mg / tab
Yolor,diproPhylline 200mg+glycerylGuiaCholate 200mg / c-t
Zithromax 200,azithromycin 200mg / 5ml
Zithromax 200,azithromycin 200mg / 5ml
Zithromax 200,azithromycin 200mg / 5ml
Zithromax 250,azithromycin 250mg / cap
Zoloft 50,sertraline 50mg / cap
Zomoland,chlorzoxazone 250mg+paraCetamol 300mg / cap
Zovirax 200,acyclovir 200mg / c-tab
Zovirax 200,acyclovir 200mg / c-tab
Zovirax 200,acyclovir 200mg / c-tab
Zovirax 5%,acyclovir 5%
Zyloric 100,allopurinol 100mg / tab
Zyloric 100,allopurinol 100mg / tab
Zyloric 100,allopurinol 100mg / tab
Zyloric 300,allopurinol 300mg / tab
Zyloric 300,allopurinol 300mg / tab
Zyloric 300,allopurinol 300mg / tab
Acephyllin,acefylline 100mg / 5ml
Acephyllin pheno,acefylline 100mg+phenobarbital 3.3mg / 5ml
Amri6 250,vitaminB6 250mg / tab
Amricort 40,triamCinolone 40mg / amp
Amricort 40,triamCinolone 40mg / amp
Amrifer,copper 0.6mg+ferrous 50mg+folicAcid 0.5mg+magnesium 1mg+vitaminB1 1mg+vitaminB6 2mg+vitaminB12 0.015mg+vitaminPP 5mg / 5ml
Amriphabol 100,pyrithioxine 100mg / c-tab
Amriphabol 100,pyrithioxine 100mg / 5ml
Amritrim,sulfamethoxazole 200mg+trimethoprim 40mg / 5ml
Amritrim,sulfamethoxazole 400mg+trimethoprim 80mg / tab
AmritrimForte,sulfamethoxazole 800mg+trimethoprim 160mg / tab
"Amrivite 1,0000",vitaminB12 10mg / amp
"Amrivite 5,000",vitaminB12 5mg / amp
Amrixen 125,naproxen 125mg / supp
Amrixen 125,naproxen 125mg / 5ml
Amrixen 250,naproxen 250mg / cap
Amrixen 250,naproxen 250mg / supp
Amrixen 250,naproxen 250mg / 5ml
Amrixen 500,naproxen 500mg / supp
Amrizid,H.C.T.Z. ( HydroChloroThiaZide ) 25mg+triamterene 50mg / tab
Amrizol 125,metronidazole 125mg / 5ml
Amrizol 250,metronidazole 250mg / tab
Amrizol 500,metronidazole 500mg / tab
Amrizym,diastase 55mg+pancreatine 55mg+pepsine 55mg / cap
AntiTubra,ethambutol 275mg+isoniazide 75mg+pyrazinamide 400mg+rifampicin 150mg / tab
Betaphos,betamethasoneDipropionate 10mg+betamethasoneSodium 4mg / amp
Bismomrit 300,BismuthSubcitrate 300mg / c-tab
Busco 20,hyoscine 20mg / amp
Calciferol,ergocalciferol 600000i.u. / amp
Clomidat 50,clomiphene 50mg / tab
Daniza 5,serratiopeptidase 5mg / c-tab
DanizaFort 10,serratiopeptidase 10mg / c-tab
Dexamrit 0.5,dexamethasone 0.5mg / 5ml
Dexamrit 8,dexamethasone 8mg / amp
Diltiazem 120,diltiazem 120mg / SR-cap
Diltiazem 180,diltiazem 180mg / SR-cap
Diltiazem 60,diltiazem 60mg / tab
Diltiazem 90,diltiazem 90mg / cap
Enalapril 10,enalapril 10mg / tab
Enalapril 20,enalapril 20mg / tab
Ethambutol 400,ethambutol 400mg / tab
Ethambutol 400,ethambutol 400mg / tab
Felodipa 10,felodipine 10mg / c-tab
Felodipa 2.5,felodipine 2.5mg / c-tab
Felodipa 5,felodipine 5mg / c-tab
Gestamrit 5,allyloestrenol 5mg / tab
Glucomrit 5,glipizide 5mg / c-tab
Ketorolac 30,ketorolac 30mg / amp
Ketotiphen 1,ketotifen 1mg / 5ml
Ketotiphen 1,ketotifen 1mg / tab
Lephly 20,leflunamide 20mg / c-tab
Lipomin 100,fenofibrate 100mg / cap
Lipomin 300,fenofibrate 300mg / cap
Malocaine,aluminiumHydroxide 225mg+MagnesiumHydroxide 195mg+oxethazaine 10mg / 5ml
Multitol,calcium 10mg+vitaminA 3000i.u.+vitaminB1 2mg+vitaminB2 2mg+vitaminB6 2mg+vitaminC 50mg+vitaminD2 400i.u+vitaminPP 10mg / 5ml
"Neotropil 1,000",piracetam 1000mg / amp
"Neotropil 1,000",piracetam 1000mg / 5ml
Neotropil 800,piracetam 800mg / tab
NewAmrigesic,caffeine 65mg+paraCetamol 500mg / cap
Nitroglycerin 0.5,nitroglycerin 0.5mg / subLing-tab
Omeprazol 20,omeprazole 20mg / cap
Omeprazol 40,omeprazole 40mg / cap
Pantoprazol 40,pantoprazole 40mg / c-tab
Parlomit 2.5,bromocriptine 2.5mg / tab
Potassium 210,potassium 210mg / 5ml
Potassium 600,potassium 600mg / cap
PrimoritN 5,norethisterone 5mg / tab
Profenamit 100,ketoprofen 100mg / amp
Prova 25,mesterolone 25mg / tab
Proxylid 150,roxithromycin 150mg / c-t
Proxylid 300,roxithromycin 300mg / c-t
Pyrantel 125,pyrantel 125mg / tab
Pyrazinamide 500,pyrazinamide 500mg / tab
Salbutamol 2,salbutamol 2mg / 5ml
Salbutamol 2,salbutamol 2mg / tab
Salbutamol 4,salbutamol 4mg / tab
Scopolamine 20,N-hyoscine 20mg / amp
SedoCar,aminophylline 400mg+phenobarbitone 30mg / supp
Sexovan 5,magnesiumNicotinate 10mg+mesterolone 7.5mg+vitaminE 11mg+yohimbine 5mg / cap
Stigmin 0.5,neostigmine 0.5mg / amp
Supravit,calcium 25mg+ferrouse 20mg+magnesium 10mg+vitaminB1 20mg+vitaminB2 10mg+vitaminB6 5mg+vitaminC 50mg+vitaminPP 20mg / cap
SupravitFort,calcium+copper+ferrous+folicAcid+magnesium+vitaminA+vitaminB1 20mg+vitaminB2 20mg+vitaminB6 10mg+vitaminB12+vitaminC 100mg+vitaminPP / cap
Thiamazol 5,methimazole 500mg / tab
Thyroxine 0.1,thyroxine 0.1mg / tab
Tramadol 100,tramadol 100mg / amp
TranpalCompNew,orphenadrine 35mg+paraCetamol 450mg / tab
TriB,vitaminB1 100mg+vitaminB6 100mg+vitaminB12 1mg / c-tab
TriBForte,lidocaine 6mg+vitaminB1 100mg+vitaminB6 100mg+vitaminB12 1.5mg / amp
Venorut 300,troxerutin 300mg / cap
Volta 100,diclofenacSodium 100mg / supp
Volta 25,diclofenacSodium 25mg / c-tab
Volta 50,diclofenacSodium 50mg / c-tab
Volta 75,diclofenacSodium 75mg / amp
Volta 75,diclofenacSodium 75mg / amp
Aspirin 100,aspirin 100mg / c-tab
Aspirin 81,aspirin 81mg / c-tab
Chicine 0.5,colchicine 0.5mg / tab
Clopigrel 70,clopidogrel 75mg / c-tab
Lansostom 30,lansoprazole 30mg / cap
Prilostom 20,omeprazole 20mg / cap
Prilostom 40,omeprazole 40mg / cap
Stomaprazole 20,Esomeorazole 20mg / c-tab
Stomaprazole 40,Esomeorazole40mg / c-tab
AmloVartan 10/160,amlodipine 10mg+valsartan 160mg / tab
AmloVartan 5/160,amlodipine 5mg+valsartan 160mg / tab
AmloVartan 5/80,amlodipine 5mg+valsartan 80mg / tab
AntiCough,aluminiumchloride+bromhexine+dextromethorphan+menthol / 5ml
AntiFunji 50,
AntiFunji 50,
AntiLergin 2.5,desloratadine 2.5mg / 5ml
AntiLergin 5,desloratadine 5mg / c-tab
AntiLergin 5,desloratadine 5mg / c-tab
AntiNemia 150,ironSalts
AntiProtoa,
AntiProtoa,netazoxanide / tab
BizoGamPlus 5/6.25,bisoprolol 5mg+H.C.T.Z. ( HydroChloroThiaZide ) 6.25mg / c-t
Cefaclor 125,cefaclor 125mg / 5ml
Cefaclor 250,cefaclor 250mg / 5ml
Cefiwey 200,
Cefiwey 400,
"Cepimex 1,000",cefepime 1000mg / vial
"Cepimex 1,000",
"Cepimex 2,000",
"Cepimex 2,000",
Cepimex 500,cefepime 500mg / vial
Cepimex 500,
CetagamExtra,caffeine 65mg+paraCetamol 500mg / c-tab
"ClafoTaxime 1,000",cefotaxime 1000mg / vial
ClafoTaxime 500,cefotaxime 500mg / vial
ClorTalil 50,chlorTalidone 50mg / tab
Diclofenac 100,diclofenacSodium 100mg / supp
Diclofenac 12.5,diclofenacSodium 12.5mg / supp
Diclofenac 25,diclofenacSodium 25mg / supp
"FormaGliptin 1,000/50",metformin 1000mg+sitagliptin 50mg / c-tab
FormaGliptin 500/50,metformin 500mg+sitagliptin 50mg / c-tab
FormaGliptin 850/50,metformin 850mg+sitagliptin 50mg / c-tab
GameStil 1,dimethindene 1mg / ml
GamiFin,chlorPheniramine 8mg+pseudoEphedrine 120mg / cap
Gamocef 100,cefpodoxime 100mg / c-tab
Gamocef 100,cefpodoxime 100mg / c-tab
Gamocef 100,cefpodoxime 100mg / 5ml
Gamocef 200,cefpodoxime 200mg / c-tab
Gamocef 200,cefpodoxime 200mg / c-tab
Gamocef 50,cefpodoxime 50mg / 5ml
Glycerine 1000,glycerine 1000mg / supp
Glycerine 2000,glycerine 2000mg / supp
Glycerine 3000,glycerine 3000mg / supp
IbuProfen 200,ibuProfen 200mg / c-tab
IbuProfen 400,ibuProfen 400mg / c-tab
IbuProfen 600,ibuProfen 600mg / c-tab
IbuProfen 800,ibuProfen 800mg / c-tab
Indomethacin 100,indomethacin 100mg / supp
MultiGam,
Pharmazan 16,
Pharmazan 32,
Pharmazan 8,
"Triflexon 1,000",ceftriaxone 1000mg / vial
Triflexone 250,ceftriaxone 250mg / vial
Triflexone 500,ceftriaxone 500mg / vial
Triptofed 30/1.25,pseudoEphedrine 30mg+triprolidine 1.25mg / tab
Triptofed 60/2.5,pseudoEphedrine 60mg+triprolidine 2.5mg / tab
Urodantin 100,nitrofurantoin 100mg / cap
Urodantin 25,nitrofurantoin 25mg / 5ml
WaterGam,
Ginkgo 60,gikgobiloba 60mg / c-tab
Ginkgo 60,gikgobiloba 60mg / c-tab
Greenergy 80,gikgobiloba 80mg / tab
Greenergy 80,gikgobiloba 80mg / tab
GreenTea,
Psyllium 350,psyllium 350mg / cap
SoluCainat 1%,
WaterForInj.,W.F.I.
WaterForInj.,W.F.I.
AlfaresK 375,potassium 375mg / 5ml
Artral 750,glucosAmine 750mg / c-tab 
Artral 750,glucosAmine 750mg / c-tab 
ArtralMineral,calciumCarbonate 120mg+glucosAmine 500mg+magnesiumOxide 60mg+vitD 1.75i.u. / c-tab 
ArtralMSM,conderiotin 400mg+glucosAmine 500mg+methylSulfonylMethane 400mg / c-tab 
ArtralPlus,chondroitine 400mg+glucosAmine 500mg / c-tab
ArtralPlus,chondroitine 400mg+glucosAmine 500mg / c-tab
Azitrolyd 200,azithromycin 200mg / 5ml
Azitrolyd 200,azithromycin 200mg / 5ml
Azitrolyd 250,azithromycin 250mg / cap
Azitrolyd 250,azithromycin 250mg / cap
Azitrolyd 500,azithromycin 500mg / c-tab
Azitrolyd 500,azithromycin 500mg / c-tab
Azitrolyd 500,azithromycin 500mg / c-tab
Azitrolyd 600,azithromycin 600mg / c-tab
Azitrolyd 600,azithromycin 600mg / c-tab
BetaCE,betacarotene 15mg+vitaminC 150mg+vitaminE 75mg / cap
BetaCE,betacarotene 15mg+vitaminC 150mg+vitaminE 75mg / cap
Brain,ginkgobiloba
Cardiopress 1,doxazosin 1mg / tab
Cardiopress 2,doxazosin 2mg / tab
Cardiopress 4,doxazosin 4mg / tab
"Cholestramine 9,000","cholestramine 9,000mg / sachet"
Cillamin 250,penicillamine 250mg / cap
Cillamin 250,penicillamine 250mg / cap
Claryl 125,clarithromycin 125mg / 5ml
Claryl 125,clarithromycin 125mg / 5ml
Claryl 250,clarithromycin 250mg / c-tab
Claryl 250,clarithromycin 250mg / 5ml
Claryl 250,clarithromycin 250mg / 5ml
Claryl 500,clarithromycin 500mg / c-tab
ColoClean,PEG 59000mg+potassiumchloride 700mg+sodiumCarbonate 1700mg+sodiumchloride 1500mg+sodiumsulfate 5700mg / sachet
ColoLax,PEG 13125mg+potassiumchloride 46.6mg+sodiumchloride 46.6mg+biCarbonateSodium 178mg / sachet
ColoLax,PEG 13125mg+potassiumchloride 46.6mg+sodiumchloride 46.6mg+biCarbonateSodium 178mg / sachet
CosmoCainePlus,lidocaine 25mg+prilocaine 25mg / 1gr
Diltiazem 30,diltiazem 30mg / tab
Diltiazem 60,diltiazem 60mg / tab
Dologesic 100,flurbiprofen 100mg / c-tab
Dologesic 100,flurbiprofen 100mg / c-tab
Dologesic 100,flurbiprofen 100mg / c-tab
Dologesic 50,flurbiprofen 50mg / c-tab
Dologesic 50,flurbiprofen 50mg / c-tab
Enalapril 10,enalapril 10mg / tab
Enalapril 20,enalapril 20mg / tab
Enalapril 5,enalapril 5mg / tab
Famotidine 10,famotidine 10mg / c-tab
Famotidine 20,famotidine 20mg / c-tab
Famotidine 40,famotidine 40mg / c-tab
FeMalt 50,ferrousEleminate 50mg / 5ml
FeMaltPlus,ferrousEleminate 150mg+folicAcid 1mg+vitaminB12 0.025mg / cap
FeMaltPlus,ferrousEleminate 150mg+folicAcid 1mg+vitaminB12 0.025mg / cap
Furosemide 20,furosemide 20mg / tab
Furosemide 40,furosemide 40mg / tab
HydroChlorThiaZide 12.5,hydroChlorThiaZide ( H.C.T.Z. ) 12.5mg / tab
HydroChlorThiaZide 25,hydroChlorThiaZide ( H.C.T.Z. ) 25mg / tab
Hydrocort 10,hydroCortisone 10mg / c-tab
Hydrocort 10,hydroCortisone 10mg / c-tab
Hydrocort 10,hydroCortisone 10mg / c-tab
Ibugel 5%,ibuprofen 5%
ImmunStrum 200,colostrum 200mg / cap
Lamifin 125,terbinafine 125mg / tab
LevoZetrin 2.5,levocetrizine 2.5mg / 5ml
LevoZetrin 5,levocetrizine 5mg / c-tab
LosarDipin 10/160,amlodipine 10mg+valsartan 160mg / c-tab
LosarDipin 5/160,amlodipine 5mg+valsartan 160mg / c-tab
LosarDipin 5/80,amlodipine 5mg+valsartan 80mg / c-tab
LosarDipinPlus 10/12.5/160,amlodipine 10mg+hydroChlorThiazide 12.5mg+valsartan 160mg / c-tab
LosarDipinPlus 5/12.5/160,amlodipine 5mg+hydroChlorThiazide 12.5mg+valsartan 160mg / c-tab
LosarDipinPlus 5/25/160,amlodipine 5mg+hydroChlorThiazide 25mg+valsartan 160mg / c-tab
LowLip 10,atorvastatin 10mg / c-tab
LowLip 10,atorvastatin 10mg / c-tab
LowLip 10,atorvastatin 10mg / c-tab
LowLip 20,atorvastatin 20mg / c-tab
LowLip 20,atorvastatin 20mg / c-tab
LowLip 40,atorvastatin 40mg / tab
LowLip 40,atorvastatin 40mg / tab
LowLip 80,atorvastatin 80mg / c-tab
Lukast 10,montelukast 10mg / c-tab
Lukast 4,montelukast 4mg / chew-tab
Lukast 5,montelukast 5mg / chew-tab
Mefidol 250,mefenamicAcid 250mg / cap
Mefidol 50,mefenamicAcid 50mg / 5ml
Mefidol 500,mefenamicAcid 500mg / c-tab
MentoGel,
Nailfen 1%,terbinafine 1%
Nailfen 1%,terbinafine 1%
Nailfen 125,terbinafine 125mg / tab
Nailfen 250,terbinafine 250mg / tab
Nailfen 250,terbinafine 250mg / tab
Newaid 1%,nimesulide 1%
Newaid 100,nimesulide 100mg / tab
Newaid 100,nimesulide 100mg / tab
Newaid 50,nimesulide 50mg / 5ml
OhJelly,lubricant gel water soluble / gr
OhJelly,lubricant gel water soluble / gr
Plastodent,aluminiumSulfate 400mg+potassiumAluminate 160mg+zincOxide 4000mg / cylinded piece
ProstaNor 10,terazosin 10mg / tab
ProstaNor 2,terazosin 2mg / tab
ProstaNor 2,terazosin 2mg / tab
ProstaNor 5,terazosin 5mg / tab
ProstaNor 5,terazosin 5mg / tab
Quatrocin 100,minocycline 100mg / cap
Quatrocin 100,minocycline 100mg / cap
Quatrocin 50,minocycline 50mg / cap
Quatrocin 50,minocycline 50mg / cap
Quino 400,lomefloxacin 400mg / c-tab
Quino 400,lomefloxacin 400mg / c-tab
Remoxib 100,celecoxib 100mg / cap
Remoxib 200,celecoxib 200mg / cap
Satosen,dextroMethorphan 10mg+guaifenesin 100mg / 5ml
Simvacor 10,simvastatin 10mg / c-tab
Simvacor 10,simvastatin 10mg / c-tab
Simvacor 20,simvastatin 20mg / c-tab
Simvacor 20,simvastatin 20mg / c-tab
Simvacor 40,simvastatin 40mg / c-tab
Sofgel 2%,diphenhydramine 2%
Sucontrol 5,glipizide 5mg / tab
Sucontrol 5,glipizide 5mg / tab
TrioNerv,
Uronta 100,nitrofurantoin 100mg / cap
Uronta 25,nitrofurantoin 25mg / 5ml
Xylogel 2%,lidocaine 2%
Zetrizin 10,cetirizine 10mg / c-tab
Zetrizin 5,cetirizine 5mg / 5ml
AllergyStop 120,fexofenadine 120mg / c-tab
AllergyStop 180,fexofenadine 180mg / c-tab
AllergyStop 60,fexofenadine 60mg / cap
Ambroxol 15,ambroxol 15mg / 5ml
Ambroxol 30,ambroxol 30mg / tab
AntiCholestrol 10,
AntiCholestrol 20,
AntiCholestrol 40,
AntiCholestrol 5,
Axer 275,naproxen 275mg / cap
Axer 550,naproxen 550mg / cap
AxerSyr 550,naproxen 550mg / cap
Azithromycin 250,azithromycin 250mg / cap
Azithromycin 500,azithromycin 500mg / cap 
BabyPlus,Fluor 0.25mg+ferrous 10mg+vit A 1500i.u.+vitaminD3 400i.u.+vitaminC 35mg / ml
BabyVit,vitaminA 3000i.u.+vitaminD3 500i.u.+vitaminC 50mg / ml
BenThiazide 5,
Bony 30,risedronateSodium 30mg / c-tab
Bony 5,risedronateSodium 5mg / c-tab
Brofenac 300,
Brofenac 400,
Buccosept,C.T.A.B. 2mg+lidocaine 5mg+vitaminC 50mg / loz
CaldyVit,calciumGluconate 500mg+vitaminD3 600i.u. / tab
CaldyVit,calciumGluconate 500mg+vitaminD3 600i.u. / tab
CaldyVit,calciumGluconate 500mg+vitaminD3 600i.u. / tab
Cardosyr 1,doxazosin 1mg / c-tab
Cardosyr 2,doxazosin 2mg / c-tab
Cardosyr 4,doxazosin 4mg / c-tab
Cenvite,chloride+copper+chrome++ferrous+folicAcidiode+magnesium+nickel+potassium+vitaminA+vitaminB1+vitaminB2+vitaminB6+vitaminB12+vitaminC+vitaminE+vitaminD+vitaminPP / 5ml
Cenvite,chloride+copper+chrome++ferrous+folicAcidiode+magnesium+nickel+potassium+vitaminA+vitaminB1+vitaminB2+vitaminB6+vitaminB12+vitaminC+vitaminE+vitaminD+vitaminPP / 5ml
Cenvite,chloride+copper+chrome++ferrous+folicAcidiode+magnesium+nickel+potassium+vitaminA+vitaminB1+vitaminB2+vitaminB6+vitaminB12+vitaminC+vitaminE+vitaminD+vitaminPP / 5ml
CenviteEye,
CenviteKids,chloride+chrome+copper+ferrous+folicAcid+iode+magnesium+nickel+potassium+vitaminA+vitaminB1+vitaminB2+vitaminB6+vitaminB12+vitaminC+vitaminD+vitaminE+vitaminPP+zinc / chew-tab
CenviteKids,chloride+chrome+copper+ferrous+folicAcid+iode+magnesium+nickel+potassium+vitaminA+vitaminB1+vitaminB2+vitaminB6+vitaminB12+vitaminC+vitaminD+vitaminE+vitaminPP+zinc / chew-tab
CenviteSilver,chloride+copper+chrome+ferrous+folicAcid+iode+magnesium+nickel+potassium+vitaminA+vitaminB1+vitaminB2+vitaminB6+vitaminB12+vitaminC+vitaminD+vitaminE+vitaminPP+zinc / c-tab
CenviteSilver,chloride+copper+chrome+ferrous+folicAcid+iode+magnesium+nickel+potassium+vitaminA+vitaminB1+vitaminB2+vitaminB6+vitaminB12+vitaminC+vitaminD+vitaminE+vitaminPP+zinc / c-tab
CenviteSilver/Lutein,
CenviteSilver/Lutein,
Chicosid 4,thiocolchicoside 4mg / cap
CoxyTwo 10,valdecoxib 10mg / c-tab
CoxyTwo 20,valdecoxib 20mg / c-tab
DeCough,butamirate 5mg / ml
DeCough,butamirate 15mg / 5ml
Didal 200,albendazole 200mg / 5ml
Didal 400,albendazole 400mg / tab
Didal 400,albendazole 400mg / tab
Digoxyr 0.5,digoxin 0.05mg / ml
Dobien 10,zolpidem 10mg / c-tab
Dobien 5,zolpidem 5mg / c-tab
Driptasyr 5,oxybutynin 5mg / 5ml
Driptasyr 5,oxybutynin 5mg / tab
Efferacod,codeinePhosphate 30mg+paraCetamol 500mg / efferv-tab
Efferamol,paraCetamol 330mg+vitaminC 200mg / efferv-tab
Enterofuryl 200,nifuroxazide 200mg / cap
Enterofuryl 200,nifuroxazide 200mg / cap
Enterofuryl 220,nifuroxazide 220mg / 5ml
Flopine 10,felodipine 10mg / c-tab
Flopine 2.5,felodipine 2.5mg / c-tab
Flopine 5,felodipine 5mg / c-tab
GlaptaSyr 100,sitagliptin 100mg / c-tab
GlaptaSyr 25,sitagliptin 25mg / c-tab
GlaptaSyr 50,sitagliptin 50mg / c-tab
"GlaptaSyrPlus 1,000/50","metformin 1,000mg+sitagliptin 50mg / c-tab"
GlaptaSyrPlus 500/50,metformin 500mg+sitagliptin 50mg / c-tab
Glyxy 100,miglitol 100mg / c-tab
Glyxy 25,miglitol 25mg / c-tab
Glyxy 50,miglitol 50mg / c-tab
GrippeStop,dextroMethorphan 15mg+paraCetamol 325mg+pseudoEphedrine 30mg / c-tab
GrippeStop,dextroMethorphan 15mg+paraCetamol 325mg+pseudoEphedrine 30mg / c-tab
GrippeStop,chlorpheniramine 1mg+dextroMethorphan 7.5mg+paraCetamol 160mg+pseudoEphedrine 15mg / 5ml
Hydroxyzine 10,hydroxyZine 10mg / 5ml
Hydroxyzine 100,hydroxyZine 100mg / c-tab
Hydroxyzine 25,hydroxyZine 25mg / c-tab
Ketonazol 100,ketoconazole 100mg / 5ml
Ketonazol 200,ketoconazole 200mg / tab
Lexasyr 10,escitalopram 10mg / c-tab
Lexasyr 20,escitalopram 20mg / c-tab
Lexasyr 5,escitalopram 5mg / c-tab
Liposyr 100,fenofibrate 100mg / cap
Liposyr 300,fenofibrate 300mg / cap
Lotid 100/12.5,H.C.T.Z. ( HydroChloroThiaZide ) 12.5mg+losartan 100mg / tab
Lotid 100/25,H.C.T.Z. ( HydroChloroThiaZide ) 25mg+losartan 100mg / tab
Lotid 50/12.5,H.C.T.Z. ( HydroChloroThiaZide ) 12.5mg+losartan 50mg / tab
MagnesiumB6,magnesiumLactate 470mg+vitaminB6 5mg / c-tab
Memory 10,donepezil 10mg / c-tab
Memory 5,donepezil 5mg / c-tab
MetfoGlyb 250/1.25,glyburide 1.25mg+metformin 250mg / c-tab
MetfoGlyb 500/2.5,glyburide 2.5mg+metformin 500mg / c-tab
MetfoGlyb 500/5,glyburide 5mg+metformin 500mg / c-tab
Monkast 10,montelukast 10mg / c-tab
Monkast 10,montelukast 10mg / c-tab
Monkast 10,montelukast 10mg / c-tab
Monkast 4,montelukast 4mg / chew-tab
Monkast 4,montelukast 4mg / chew-tab
Monkast 4,montelukast 4mg / chew-tab
Monkast 5,montelukast 5mg / chew-tab
Monkast 5,montelukast 5mg / chew-tab
Monkast 5,montelukast 5mg / chew-tab
Motiliosyr 10,domperidone 10mg / c-tab
Motiliosyr 10,domperidone 10mg / c-tab
Motiliosyr 5,domperidone 5mg / 5ml
Multivit,vitaminA 2000i.u.+vitaminD3 500i.u.+vitaminB1 1mg+vitaminB2 2mg+vitaminB6 2mg+vitaminC 50mg / ml
Nafazolone,naphazoline 0.5%
NewOmeprazol 20,esomeprazole 20mg / c-tab
NewOmeprazol 20,esomeprazole 20mg / SR-cap
NewOmeprazol 40,esomeprazole 40mg / c-tab
NewOmeprazol 40,esomeprazole 40mg / SR-cap
Newpril 10,fosinopril 10mg / c-tab
Newpril 20,fosinopril 20mg / c-tab
Nitrofan 100,nitrofurantoin 100mg / cap
Nitrofan 100,nitrofurantoin 100mg / cap
Nitrofan 25,nitrofurantoin 25mg / 5ml
Nitrofan 50,nitrofurantoin 50mg / cap
Nitrofan 50,nitrofurantoin 50mg / cap
Nizitron 1,
Nolid 400,linezolid 400mg / c-tab
Nolid 600,linezolid 600mg / c-tab
Nystasyr 100,nystatin 100000i.u. / ml
Nystasyr 100,nystatin 100000i.u. / ml
Otazine 0.5,oxymetazoline 0.5mg / ml
Otazine 0.5,oxymetazoline 0.5mg / ml
Oxcarba 150,oxcarbazepine 150mg / c-tab
Oxcarba 300,oxcarbazepine 300mg / c-tab
Oxcarba 300,oxcarbazepine 300mg / 5ml
Oxcarba 600,oxcarbazepine 600mg / c-tab
OxycodonPlus 2.5/325,oxycodone 7.5mg+paraCetamol 325mg / tab
OxycodonPlus 5/325,oxycodone 5mg+paraCetamol 325mg / tab
OxycodonPlus 7.5/325,oxycodone 7.5mg+paraCetamol 325mg / tab
OxycodonPlus 7.5/500 ,oxycodone 7. 5mg+paraCetamol 500mg / tab
"ParaCetamol 1,000",paraCetamol 1000mg / tab
"ParaCetamol 1,000",paraCetamol 1000mg / tab
ParaCetamol 200,paraCetamol 200mg / 5ml
ParaCetamol 500,paraCetamol 500mg / tab
ParaCetamol 500,paraCetamol 500mg / tab
Pharmacort 20,prednisolone 20mg / tab
Pharmacort 5,prednisolone 5mg / 5ml
Pharmacort 5,prednisolone 5mg / tab
PharmaGrel 75,clopidogrel 75mg / c-tab
PharmaGrel 75,clopidogrel 75mg / c-tab
PharmaPseudo,pseudoEphedrine 30mg+triprolidine 1.25mg / 5ml
PharmaPseudo,pseudoEphedrine 60mg+triprolidine 2.5mg / tab
